SITE_ACCOUNT_NUMBER,ACCOUNT_STATUS,FIRST_COMMUNICATION_DATE,UPGRADE_DATE,SERVICE_ PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,COMPANY_SOURCE_NAME,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIPCODE,EMAIL_ADDRESS,FEEDBACK,SATELLITE,SITE_TYPE_DESC,WARRANTY_NAME,MOST_RECENT_SALES_CHANNEL,GENDER,DATE_OF_BIRTH,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER
AMR-14875244,Active,6/12/2001,6/10/2003,Power150,HN7000S,Retail/others,Indirect,RS&I,HNS Customers,Pam,Butler,180 AR AIRPORT 0 0 0,CROPSEYVILLE, NY,12052,Pam.Butler@geeksquad.com,GOOD,SM5-VER-15K,Broadband Remote,0,Direct,1,22-8-1967,45,7,1,0,
AMR-14875495,Active,5/30/2001,4/3/2004,Proplus,DW4020,Call Center,Indirect,InfoDish,HNS Customers,Charlesa,Scott,1218 TWP. RD. 62,LAS VEGAS, NM,87701,chscott@hughes.net,BAD,AM9-VER-2K ,Broadband Remote,,DPC Classic upgrade,1,.,.,,0,,
AMR-14876904,Active,3/6/2002,9/22/2004,Home,UNK,Vars,Indirect,Hughes Web Order,HNS Customers,Pete,RUNYON,PO H ROAD 0 0 0,PARON, AR,72122,Pete.RUNYON@yahoo.com,BAD,AM9-VER-2K ,Spaceway,0,Classic Migration,1,25-12-1950,62,0,0,0,Y
AMR-14882497,Active,5/4/2001,8/23/2004,Elite,,Call Center,Indirect,InfoDish,HNS Customers,LYLEa,Rogala,800 LARKS LINE RD 0 0,ESCALON, CA,95320,LYLE.Rogala@compuserve.com,BAD,SM5-VER-15K,Broadband Remote,0,Retail       ,2,11-10-1948,64,5,1,0,N
AMR-14902253,Active,3/25/2002,5/20/2005,Proplus,DW4020,Call Center,Indirect,Hughes Web Order,HNS Customers,Michael,Garcia,120 JONES RUN LN 0 0,RICHMOND, TX,77406,Michael.Garcia@compuserve.com,BAD,SM5-VER-7K,Broadband Remote,0,DW7000 Upgrade,2,14-2-1982,30,C,1,0,
AMR-14903035,Active,4/12/2002,10/11/2004,Basic_Ltd,HN9000,Retail/others,Indirect,Verisign Web Ordering,HNS Customers,Michael,Bredlow,PO BOX AB RIVER 0 0,GOLDEN, CO,80401,Michael.Bredlow@wexzone.com,GOOD,SM5-HOR-14K,Spaceway,0,Direct,,8-1-1944,68,9,0,0,N
AMR-14905877,Active,3/26/2002,12/30/2003,Basic_Ltd,DW6000,Sales Agents,Indirect,Hughes Web Order,HNS Customers,Harolda,Crihfield,12121 MIDLAND CIFAX CIUDAD 0 0,CMBRLND FRNCE, TN,37051,Harold.Crihfield@rossaweb.net,,,Broadband Remote,0,DW6000 Upgrade,2,24-5-1949,63,0,1,1,N
AMR-14905924,Active,3/9/2002,4/13/2006,Home,HN7000S,Web orders,Indirect,ACS Pre-Install,HNS Customers,Michael,Gramlisch,9001 STONEY RD CT 0 0,SENOIA, GA,30276,Michael.Gramlisch@hughes.net,GOOD,HZN-HOR-8K,Broadband Remote,0,HN9000 Upgrade,2,19-4-1979,33,6,0,0,N
AMR-14908151,Active,2/8/2002,10/22/2004,Basic,HN7000S,,Indirect,LiveBridge Communications LLC,HNS Customers,Sharon,Lewis,1000 COUNTY RD 38B 0 0,BLACK MOUNTAIN, NC,28711,Sharon.Lewis@hotmail.com,,AM9-HOR-21K,Broadband Remote,EXPRESS REPAIR BASIC,Direct,1,18-10-1961,51,0,1,0,
AMR-14915157,Active,2/18/2002,1/10/2006,Home,DW4020,,Indirect,RS&I,HNS Customers,Stevea,Barr,109 HIGH LONESOME TRL,CHINO, CA,91710,stevebarr@hughes.net,GOOD,AM9-VER-2K ,Broadband Remote,,Retail       ,1,.,.,,0,,
AMR-14916700,Active,1/4/2002,7/5/2004,Basic,HN7000S,Vars,Direct,,HNS Customers,Plasketta,BUTLER,4702 BUCKLEY ROUTE RD 0 0,WOODSIDE, CA,94062,Plaskett.BUTLER@compuserve.com,,SPACEWAY3,Spaceway,0,Retail       ,1,18-9-1989,23,D,0,0,N
AMR-14922119,Active,3/13/2002,8/14/2005,Basic_Ltd,HN9000,Web orders,Indirect,Perfect 10,HNS Customers,Gregory,Eapen,2300 JORDAN MONROE ANDREWS 0 0,PALESTINE, WV,26160,Gregory.Eapen@compuserve.com,BAD,G17-HOR-6K,Spaceway,0,Retail,2,13-11-1954,58,7,1,1,N
AMR-14923151,Active,4/5/2002,7/9/2005,Power150,HN9000,Sales Agents,Indirect,AmericanSat,HNS Customers,Louis,Hawkins,910 LAKEVIEW LN 0 0 0,BUHL, AL,35446,Louis.Hawkins@gmail.com,GOOD,SPACEWAY3,Broadband Remote,0,DW6000 Upgrade,2,17-10-1955,57,4,1,0,N
AMR-14925390,Active,3/14/2002,8/26/2005,Basic,HN9000,Retail/others,Indirect,AmericanSat,HNS Customers,Rhondaa,Banning,PO W CIFAX 0 0 0,SUMERDUCK, VA,22742,Rhonda.Banning@hughes.net,GOOD,G17-HOR-6K,Broadband Remote,0,Dealer-Generated Sale,2,28-6-1962,50,0,2,0,N
AMR-14928358,Active,1/24/2002,6/7/2004,Home,HN7000S,Sales Agents,Indirect,Best Buy,HNS Customers,Michael,Priddy,6424 AUTUMN DR 0 0 0,LAKEVILLE, IN,46536,Michael.Priddy@aol.com,GOOD,G17-HOR-2K,Broadband Remote,0,Dealer-Generated Sale,1,24-7-1969,43,4,,0,N
AMR-14932628,Active,4/12/2002,12/31/2005,Elite,HN7000S,Vars,Indirect,TAG,HNS Customers,Henrya,Neusch,174 ISLAND 556 ROAD 0 0,WILLCOX, AZ,85643,Henry.Neusch@wexzone.com,,SM5-VER-5K,Spaceway,0,Direct,1,8-3-1984,28,0,1,0,
AMR-14945090,Active,7/29/2003,1/19/2006,Pro,HN9000,Vars,Indirect,ACS,HNS Customers,Gregga,FABRYCKI,1739 240TH 24 0 0 0,POCATELLO, ID,83201,Gregg.FABRYCKI@wexzone.com,GOOD,SPACEWAY3,Broadband Remote,0,DPC Classic upgrade,1,19-2-1983,29,0,0,0,N
AMR-14951591,Active,10/25/2001,7/8/2005,Basic,UNK,Call Center,Indirect,ValueElectronics,HNS Customers,Scotta,Gray,8460 BATESVILLE RD ROAD 0 0,DUVALL, WA,98019,Scott.Gray@hughes.net,BAD,SPACEWAY3,Broadband Remote,0,Retail,2,23-1-1981,31,5,0,0,Y
AMR-14954768,Active,12/3/2001,12/3/2004,,HN7000S,,Direct,TAG,HNS Customers,James,Obrien,1898 E LOOP 92 0 0,HARRISON, ID,83833,James.Obrien@aol.com,BAD,SPACEWAY3,Spaceway,0,HN7000 Upgrade,2,19-6-1974,38,0,1,0,N
AMR-14960241,Active,4/2/2002,2/20/2005,Home,HN7000S,,#REF!,NCC,HNS Customers,Kena,GAUWITZ,3317 HIGHLAND 240 0 0 0,MINTER CITY, MS,38944,Ken.GAUWITZ@wexzone.com,,SM5-VER-1K,Broadband Remote,0,HN7000 Upgrade,2,13-12-1976,36,0,0,,
AMR-14960571,Active,1/13/2002,5/5/2004,Pro,HN9000,Web orders,Indirect,RS&I,HNS Customers,Daniel,BURGER,16100 BOX FARM RD 0 0,BAINBRIDGE IS, WA,98110,Daniel.BURGER@gmail.com,GOOD,SM5-VER-1K,Broadband Remote,0,Business Edition,,28-12-1977,35,0,1,1,Y
AMR-14961785,Active,10/8/2001,8/18/2005,Pro,HN7000S,,Indirect,Hughes Web Order,HNS Customers,Raymonda,Crouchphd,2242 BOX HIGHWAY RD 0 0,HASWELL, CO,81045,Raymond.Crouchphd@compuserve.com,BAD,SM5-VER-5K,Broadband Remote,0,HN7000 Upgrade,2,26-6-1971,41,6,1,1,N
AMR-14964165,Active,3/22/2002,11/10/2005,Pro,HN7000S,Retail/others,Indirect,InfoDish,HNS Customers,Ray,Price,930 STATE CREEK 0 0 0,COLEMAN, TX,76834,Ray.Price@wexzone.com,BAD,AM9-HOR-21K,Spaceway,0,DW6000 Upgrade,2,18-10-1984,28,4,0,,N
AMR-14967088,Active,4/18/2002,6/6/2005,,DW4020,,Indirect,,HNS Customers,Orval,Vogel,N6340 COUNTY ROAD B,NEWBERG, OR,97132,ovogel@hughes.net,,G17-HOR-2K,Broadband Remote,,Direct,2,25-11-1938,74,3,1,1,N
AMR-14967867,Active,3/12/2002,3/20/2004,Elite,HN7000S,Retail/others,Direct,Hughes Web Order,HNS Customers,Wade,Dailey,6819 N GOSHEN RD,ROGERS, AR,72756,baldnbad@hughes.net,BAD,SM5-VER-15K,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,HN7000 Upgrade,2,25-11-1974,38,6,1,1,Y
AMR-14968151,Active,2/15/2002,1/12/2005,,HN9000,Retail/others,Direct,TAG,HNS Customers,Johna,Ruvo,PO IVY PAMET 0 0 0,QUENEMO, KS,66528,John.Ruvo@hughes.net,GOOD,SM5-VER-5K,Spaceway,0,HN7000 Upgrade,,22-10-1954,58,1,0,0,N
AMR-14976939,Active,7/14/2001,1/22/2005,,HN7000S,,Indirect,NCC,HNS Customers,Jeremy,Rhodes,5455 BLAND RD 3530 0 0,KENEDY, TX,78119,Jeremy.Rhodes@wexzone.com,GOOD,HZN2-VER-4K,Broadband Remote,0,HN7000 Upgrade,1,7-8-1980,32,5,0,,N
AMR-14979555,Active,4/4/2002,10/5/2004,Basic_Ltd,HN7000S,,Indirect,Hughes Web Order,HNS Customers,Richard,Goulet,3 BOX KAMM 0 0 0,FESTUS, MO,63028,Richard.Goulet@compuserve.com,BAD,SM5-VER-1K,Broadband Remote,0,Retail       ,1,14-4-1970,42,0,1,0,Y
AMR-14980527,Active,2/26/2002,1/30/2004,Elite,,Sales Agents,Indirect,ACS Pre-Install,HNS Customers,Michaela,Robinson,13927 HEARNES RD 0 0 0,MIDLAND, VA,22728,Michael.Robinson@geeksquad.com,BAD,SM5-VER-15K,Broadband Remote,0,HN7000 Upgrade,1,12-3-1946,66,0,1,0,
AMR-14987187,Active,3/11/2002,2/3/2006,Proplus,UNK,,Indirect,RS&I,HNS Customers,Robina,Seemiller,6406 BEAVER RD 10 0 0,ASHLAND, VA,23005,Robin.Seemiller@hotmail.com,GOOD,SM5-HOR-14K,Spaceway,0,Retail       ,2,20-7-1956,56,0,0,,
AMR-14993627,Active,10/8/2001,8/24/2003,,DW4000,Web orders,Indirect,LiveBridge Communications LLC,HNS Customers,STEVE,Russell,13735 BOX ROAD W 0 0,VALLEY CENTER, CA,92082,STEVE.Russell@rossaweb.net,BAD,SM5-VER-1K,Broadband Remote,0,National Sales,2,23-7-1989,23,1,0,,N
AMR-14995956,Active,3/28/2002,1/5/2005,Pro,HN7000S,,Direct,RS&I,HNS Customers,Anita,Christensen,2413 HILLSIDE RD 0 0 0,QUEEN CREEK, AZ,85242,Anita.Christensen@gmail.com,GOOD,AM6-HOR-21K,Broadband Remote,0,Dial Return Upgrade,1,28-3-1960,52,9,1,0,N
AMR-14996986,Active,2/4/2002,6/15/2004,Proplus,HN7000S,Sales Agents,Direct,RS&I,HNS Customers,Kennya,Sparr,225 AMERY RD 0 0 0,ALBUQUERQUE, NM,87120,Kenny.Sparr@geeksquad.com,GOOD,HZN-VER-6K,Broadband Remote,0,National Sales,2,28-8-1971,41,7,0,0,N
AMR-14999056,Active,4/19/2002,11/23/2003,Pro,DW6000,,Indirect,InfoDish,HNS Customers,Lisa,Mcmillan,14540 E MOUNTAIN 0 0 0,JONESBORO, IL,62952,Lisa.Mcmillan@hotmail.com,BAD,AM6-HOR-21K,Broadband Remote,0,DW6000 Upgrade,,15-6-1981,31,9,1,1,
AMR-15001470,Active,3/17/2002,5/17/2004,Home,HN9000,Call Center,Direct,NCC,HNS Customers,Barre,Kesler,855 BOX INA 0 0 0,BAGDAD, KY,40003,Barre.Kesler@sipnsearch.com,GOOD,SM5-HOR-14K,Broadband Remote,0,Dealer-Generated Sale,1,15-7-1979,33,0,0,0,Y
AMR-15004537,Active,1/23/2002,4/24/2005,Power150,HN7000S,Sales Agents,Indirect,AmericanSat,HNS Customers,David,Carter,5347 BALLS MILL RD,MOUNT AIRY, MD,21771,daveca31@hughes.net,GOOD,SM5-VER-1K,Broadband Remote,,DPC Classic upgrade,2,15-4-1954,58,7,1,0,N
AMR-15006205,Active,1/28/2001,3/13/2004,Basic_Ltd,HN7000S,Retail/others,Indirect,UNKNOWN,HNS Customers,Johna,Terrell,1898 FM CREEK 0 0 0,FULTON, MO,65251,John.Terrell@geeksquad.com,GOOD,G17-HOR-6K,Broadband Remote,0,Direct,1,11-9-1966,46,0,1,0,N
AMR-15006471,Active,3/4/2002,6/27/2005,,HN7000S,,Indirect,Verisign Web Ordering,HNS Customers,Greg,Mers,758 CALEDONIA NEAP 0 0 0,GERMANTOWN, MD,20876,Greg.Mers@sipnsearch.com,GOOD,SPACEWAY3,Broadband Remote,0,DW6000 Upgrade,1,5-4-1960,52,0,0,0,
AMR-15011566,Active,6/21/2001,1/31/2003,Home,HN7000S,Vars,Indirect,Perfect 10,HNS Customers,THOMAS,Buice,15943 VIVA DR BEND 0 0,VIOLA, DE,19979,THOMAS.Buice@wexzone.com,GOOD,AM9-HOR-21K,Broadband Remote,0,HN9000 Upgrade,,27-10-1964,48,7,0,,N
AMR-15014291,Active,10/17/2001,6/24/2005,Pro,HN7000S,Vars,Indirect,Skylink,HNS Customers,Bruce,Fang,7193 N RD RD 0 0,LENA, MS,39094,Bruce.Fang@gmail.com,GOOD,SM5-HOR-6K,Broadband Remote,0,HN9000 Upgrade,1,10-2-1971,41,0,2,1,Y
AMR-15016049,Active,4/5/2002,8/8/2004,Proplus,HN7000S,,Direct,TAG,HNS Customers,Kena,GIGUERE,260 1888 ST ST 0 0,ANTHONY, NM,88021,Ken.GIGUERE@yahoo.com,GOOD,SM5-HOR-6K,Spaceway,0,DW6000 Upgrade,,15-4-1979,33,8,0,,N
AMR-15022571,Active,4/3/2002,6/24/2004,Basic,HN7000S,Retail/others,Direct,LiveBridge Communications LLC,HNS Customers,Michael,Price,1643 AR BOX 0 0 0,FAIRPLAY, CO,80440,Michael.Price@compuserve.com,,,Spaceway,0,DW7000 Upgrade,2,16-9-1965,47,3,1,0,N
AMR-15028599,Active,3/13/2002,4/14/2006,Elite,,Sales Agents,Indirect,TAG,HNS Customers,Richard,Bridge,225 E CREEK 0 0 0,KERENS, TX,75144,Richard.Bridge@compuserve.com,GOOD,HZN2-VER-4K,Spaceway,0,DPC Classic upgrade,2,13-7-1987,25,0,1,0,N
AMR-15031472,Active,3/28/2002,10/16/2004,Home,HN9000,Vars,Direct,Hughes Web Order,HNS Customers,RSTEWART,Martin,11445 EAST FULLAM RD 0 0,JOPLIN, MO,64804,RSTEWART.Martin@hughes.net,BAD,0,Broadband Remote,0,Retail       ,,13-3-1973,39,6,1,0,
AMR-15038411,Active,8/4/2001,2/17/2005,Pro,HN7000S,Web orders,Indirect,Best Buy,HNS Customers,WALTERa,Davis,3901 MEADOW HOUSE 0 0 0,CARBONDALE, CO,81623,WALTER.Davis@hughes.net,GOOD,G17-HOR-2K,Spaceway,0,National Sales,2,7-4-1966,46,3,0,0,N
AMR-15045152,Active,2/25/2002,1/7/2004,Basic_Ltd,HN7000S,Vars,Direct,ACS Pre-Install,HNS Customers,Johna,Urso,26616 19 EDGEWOOD HIGHWAY 0 0,JEWETT, TX,75846,John.Urso@wexzone.com,GOOD,SM5-HOR-14K,Broadband Remote,0,Dealer-Generated Sale,1,3-12-1987,25,0,0,0,Y
AMR-15053844,Active,1/2/2003,6/17/2004,Basic,HN9000,Retail/others,Indirect,RS&I,HNS Customers,Andya,Wright,5704 W BOX 0 7193 0,SONOITA, AZ,85637,Andy.Wright@aol.com,GOOD,SM5-HOR-6K,Broadband Remote,0,HN7000 Upgrade,1,26-4-1956,56,9,,0,
AMR-15058924,Active,2/27/2002,12/8/2003,Home,HN7000S,Call Center,Indirect,RS&I,HNS Customers,Larrya,Thomas,17996 BOX STATE 0 0 0,ASPEN, CO,81612,Larry.Thomas@aol.com,GOOD,AM9-VER-2K ,Broadband Remote,0,DW7000 Upgrade,1,9-6-1971,41,0,0,0,N
AMR-15061294,Active,3/4/2002,11/17/2003,Power150,HN7000S,Call Center,Direct,RS&I,HNS Customers,Tracya,CHAMBERS,3901 WOOTEN RD B 201 0,PARAMUS, NJ,7652,Tracy.CHAMBERS@rossaweb.net,BAD,0,Broadband Remote,0,DPC Classic upgrade,1,23-4-1986,26,6,1,0,N
AMR-15061537,Active,10/18/2001,7/16/2003,Home,HN7000S,Web orders,Direct,Perfect 10,HNS Customers,Richarda,Sueroberts,7725 SKYPINE 1705 0 0 0,CLIFTON, TX,76634,Richard.Sueroberts@hughes.net,GOOD,AM6-HOR-21K,Broadband Remote,0,HN7000 Upgrade,1,7-6-1973,39,0,0,,
AMR-15065041,Active,11/18/2001,8/15/2003,Basic,UNK,,Indirect,ACS Pre-Install,HNS Customers,Patrick,Scott,#REF!,CULLMAN, AL,35057,Patrick.Scott@geeksquad.com,GOOD,0,Spaceway,0,Dealer-Generated Sale,1,5-7-1951,61,8,0,0,N
AMR-15066581,Active,2/11/2002,12/18/2005,Pro,HN7000S,,Indirect,ACS Pre-Install,HNS Customers,Harolda,Zyszkowski,3 HIGHWAY RD 0 0 0,CLARENDON, AR,72029,Harold.Zyszkowski@compuserve.com,BAD,SPACEWAY3,Broadband Remote,0,Direct,2,3-6-1990,22,0,1,0,Y
AMR-15067949,Active,7/15/2001,4/20/2004,Basic_Ltd,HN7000S,Call Center,Direct,TAG,HNS Customers,Dennis,Waugh,11551 74 HAMLIN 150 0 0,SONOMA, CA,95476,Dennis.Waugh@compuserve.com,BAD,SPACEWAY3,Broadband Remote,0,DPC Classic upgrade,1,4-8-1966,46,6,0,0,
AMR-15068490,Active,2/16/2002,4/2/2005,Power150,DW4020,,Indirect,Hughes Web Order,HNS Customers,Briana,Mitchell,3134 ARAPAHOE BOX RD 0 0,PRINCETON, MN,55371,Brian.Mitchell@compuserve.com,BAD,AM6-HOR-21K,Broadband Remote,0,DPC Classic upgrade,2,6-6-1990,22,7,1,0,
AMR-15069676,Active,3/8/2002,2/3/2005,Power150,DW4020,Sales Agents,Indirect,TAG,HNS Customers,Matta,Hammond,27 WILD FALLS 0 0 0,PERRINTON, MI,48871,Matt.Hammond@yahoo.com,GOOD,0,Broadband Remote,0,DW6000 Upgrade,1,19-8-1972,40,7,0,0,
AMR-15072123,Active,2/20/2002,12/14/2004,,DW4020,Call Center,Direct,Hughes Web Order,HNS Customers,Jamesa,Mills,PO BOX 317,DILLON, MT,59725,arkieangel777@yahoo.com,,G16-VER-1K,Broadband Remote,,HN7000 Upgrade,1,1-5-1956,56,3,1,0,N
AMR-15076662,Active,12/16/2001,4/3/2004,,DW7000,Vars,Indirect,,HNS Customers,Kay and Di,Chester,30668 MILLER RD,STREET, MD,21154,toberts@hughes.net,GOOD,SM5-HOR-14K,Broadband Remote,,DW7000 Upgrade,1,16-2-1956,56,8,0,0,N
AMR-15077947,Active,7/3/2002,7/31/2006,Power150,UNK,,Indirect,TAG,HNS Customers,Roger,Mantler,2415 STATE MOUNT S 0 0,BILLINGS, MT,59101,Roger.Mantler@yahoo.com,GOOD,G28-HOR-10K,Broadband Remote,0,HN9000 Upgrade,2,4-7-1950,62,0,1,1,N
AMR-15079792,Active,3/19/2002,7/17/2005,Power150,HN7000S,Call Center,Indirect,TAG,HNS Customers,Johna,Smith,16697 DOG COPPEROPOLIS 0 0 0,HOT SPRINGS, NC,28743,John.Smith@hughes.net,GOOD,SPACEWAY3,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,Direct,1,20-11-1962,50,6,0,0,
AMR-15080515,Active,2/2/2002,3/3/2005,Basic,HN9000,,Indirect,InfoDish,HNS Customers,Tim,Steingraber,4630 SLATER WOODS 0 0 0,PT PLEASANT, WV,25550,Tim.Steingraber@rossaweb.net,BAD,AM6-HOR-21K,Broadband Remote,0,DW6000 Upgrade,2,10-9-1975,37,1,,0,N
AMR-15086731,Active,3/27/2002,7/17/2004,Basic_Ltd,HN7000S,Web orders,Indirect,TAG,HNS Customers,Donald,Lord-cochran,PO BOX DR 0 0 0,DRIPPING SPRINGS, TX,78620,Donald.Lord-cochran@hughes.net,GOOD,AM9-VER-22K,Spaceway,0,DW6000 Upgrade,1,18-2-1971,41,6,0,,N
AMR-15089991,Active,2/16/2002,4/19/2005,Power150,HN7000S,Web orders,Indirect,RS&I,HNS Customers,John,Lombardo,56 ISLAND 0 0 TRLR 0,CONWAY, AR,72034,John.Lombardo@aol.com,BAD,0,Broadband Remote,0,National Sales,2,15-9-1983,29,0,1,1,
AMR-15102152,Active,4/16/2002,9/9/2003,Home,HN9000,Vars,Indirect,OROURKE BROTHERS,HNS Customers,Jeremy,Mckinnon,PO BOX DR 0 0 0,CHARLOTTE, NC,28277,Jeremy.Mckinnon@geeksquad.com,,SM5-VER-7K,Spaceway,0,DW6000 Upgrade,1,6-8-1957,55,0,1,0,N
AMR-15102452,Active,7/10/2001,5/19/2003,Basic,HN7000S,,Indirect,Perfect 10,HNS Customers,Toma,Jolly,410 COUNTY 182 RD 0 0,DEWEYVILLE, TX,77614,Tom.Jolly@geeksquad.com,GOOD,AM6-HOR-21K,Broadband Remote,0,Retail       ,1,20-10-1958,54,0,0,,N
AMR-15108317,Active,3/13/2002,11/14/2003,,DW7000,Sales Agents,Indirect,Perfect 10,HNS Customers,RONALDa,Despain,10408 COUNTY GERMANTOWN RD 0 0,AUBURN, WA,98092,RONALD.Despain@wexzone.com,BAD,SM5-VER-5K,Broadband Remote,0,Dealer-Generated Sale,2,22-8-1946,66,0,0,0,
AMR-15110384,Active,3/7/2002,6/18/2005,Proplus,HN9000,Sales Agents,Indirect,RS&I,HNS Customers,Peter,Denchy,2352 MILL CREEK LN,LEESBURG, GA,31763,boardoe@hughes.net,GOOD,AM6-HOR-21K,Spaceway,,Dial Return Upgrade,2,28-1-1956,56,9,1,0,N
